Product_Input,Cheapest_Original_Material,Original_Price_USD,EISc_Original_Score,Sustainable_Alternative,Alternative_Price_USD,EISc_Alternative_Score
Storage Container,Plastic Beads,5.85,8,Glass or Wooden Beads,5.99,3
Electronic Housing,Recycled Stone,0.55,8, Recycled Stone,0.57,3
Automotive Component,Epoxidized Soybean Oil (ESBO),5.35,8, Bio-based Epoxidized Soybean Oil,5.45,3
Packaging Box,Polypropylene,7.59,8, Glass,7.77,3
Automotive Component,Ethylene Propylene Diene Monomer (EPDM),1.02,8, Bio-based EPDM,1.04,3
Shampoo Bottle,Bio-polyethylene,9.96,8,Biodegradable Polyethylene,9.68,3
Electronic Housing,Synthetic Rugs,5.22,8,Jute or Wool Rugs,5.26,3
General Appliance Part,Fluoropolymers,4.27,10,Silicon-based Polymers,4.35,4
Sofa Cushion,Polyurethane Coating,4.69,8, Plant-based Coating,4.59,3
Automotive Component,Recycled Paper Straws,9.4,8, Compostable Paper Straws,9.22,3
Packaging Box,Hempcrete,6.26,7,Bamboo-based Insulation,6.2,3
Automotive Component,Aluminum,6.73,8,Recycled Aluminum,6.55,2
Storage Container,Plastic,7.28,10,Paper or Metal,7.1,2
Disposable Cutlery,Plastic Shopping Bags,0.45,9,Jute or Reusable Cloth Bags,0.45,2
Sportswear,Polyester Bags,6.33,8,Cotton or Canvas Bags,6.36,2
Packaging Box,Compostable PLA,8.44,7,Plant-based PLA,8.19,2
Automotive Component,Recycled Paper,8.01,7,Recycled Paper or Plant-based Paper,8.08,2
Bag,Recycled Carbon Fiber,7.61,8, Recycled Carbon Fiber Composites,7.48,3
Storage Container,Algae-Based Bioplastic,3.67,7,Plant-based Bioplastics,3.71,2
Packaging Box,Vinyl Chloride Monomer,4.77,9,Bio-based Monomers,4.63,3
Grocery Bag,High-Density Polyethylene,7.34,8,Biodegradable HDPE,7.41,3
General Appliance Part,Teak Wood,6.38,9,Bamboo Composites,6.31,3
Packaging Box,Brominated Flame Retardants,0.37,9,Phosphate-based Retardants,0.37,3
General Appliance Part,Butadiene,7.35,8,Bio-based Dienes,7.19,3
Automotive Component,Creosote-treated Wood,5.87,9,Heat-treated Wood,5.94,3
Electronic Housing,Compostable PLA,0.41,7,Plant-based PLA,0.42,2
Stockings,Recycled Nylon,2.31,8,Recycled Nylon or Hemp Fiber,2.27,3
Phone Case,Thermoplastic Elastomer (TPE),4.36,8, Biodegradable TPE,4.25,3
Packaging Box,Recycled Copper,6.95,8,Recycled Copper or Plant-based Copper,6.75,3
Upholstery,Carbon Fiber,1.29,10,Natural Fiber Composites,1.27,4
General Appliance Part,Compostable Utensils,6.75,8, Bamboo or Palm Leaf Utensils,6.93,3
Packaging Box,Hexamethylenediamine,7.49,8,Bio-based Diamines,7.52,3
Phone Case,Plastic,4.69,10,Paper or Metal,4.62,2
Packaging Box,Asbestos Cement,7.79,10,Fiber-reinforced Cement,7.97,3
Automotive Component,Spider Silk Protein,7.89,8,Recombinant Protein Fibers,7.9,3
Automotive Component,Acrylonitrile Butadiene Styrene,7.82,8,Natural Fiber Composites,7.99,3
Sponge,Cellulose Acetate,1.48,7,Natural Cellulose,1.45,2
Electronic Housing,Viscose Rayon,3.27,8,Lyocell,3.34,3
Automotive Component,Styrene Acrylonitrile,9.76,8,Natural Copolymers,9.76,3
Packaging Box,Zein (Corn Protein),9.14,7,Plant-based Protein Films,9.28,2
General Appliance Part,Triclosan,5.58,10,Essential Oil-based Antimicrobials,5.71,3
General Appliance Part,Polyisoprene,4.99,8, Natural Rubber,4.97,3
Packaging Box,Recycled PLA,6.22,8,Recycled PLA or Bamboo Fiber,6.21,3
Rubber Band,Conventional Rubber,2.73,8,Recycled Rubber or Natural Latex,2.75,3
Electronic Housing,Cadmium Pigments,9.33,10,Natural Earth Pigments,9.21,2
General Appliance Part,Polybutylene,2.09,8,Bio-based Polyolefins,2.09,3
General Appliance Part,Acetate,4.51,8, Bio-based Acetate,4.64,3
Automotive Component,Phosgene,9.28,10,Green Chemistry Routes,9.55,4
General Appliance Part,Rice Husk Ash Cement,6.64,8,Agricultural Waste Cement,6.67,3
Upholstery,Fiberglass Mat,7.04,8,Natural Fiber Mat,7.11,3
Electronic Housing,Coffee Ground Composites,0.41,5,Recycled Coffee Biocomposites,0.4,2
General Appliance Part,Polyhydroxybutyrate (PHB),6.18,8, Biodegradable PHB,6.05,3
Belt,Apple Leather,7.88,6,Fruit Waste Leather,7.76,2
Squeeze Bottle,Polyethylene Terephthalate Glycol,8.95,7,PLA-based materials,8.83,3
Storage Container,Thermoplastic Vulcanizates,4.71,8,Biodegradable Thermoplastic,4.57,3
Packaging Box,Eggshell Composites,0.78,6,Calcium Carbonate Composites,0.8,2
Packaging Film,Polyethylene Foam,0.22,8,Recycled Foam,0.22,3
General Appliance Part,Polybutylene Terephthalate,4.71,8,Biodegradable PBT,4.71,3
Tire,Silicone Rubber,8.8,6,Natural Latex or Biodegradable Silicone,8.81,3
Automotive Component,Epoxidized Soybean Oil (ESBO),2.69,8, Bio-based Epoxidized Soybean Oil,2.75,3
Adhesive,Chromic Acid,6.66,9,Citric Acid,6.53,2
General Appliance Part,Radioactive Materials,2.85,10,Non-radioactive Alternatives,2.83,4
General Appliance Part,Silicone,7.92,9,Plant-based Silicone,7.82,4
Electronic Housing,Seaweed,1.62,8,Bio-based Seaweed Packaging,1.59,3
Storage Container,Coconut Oil-based Bioplastic,9.05,8,Compostable Plastic,8.93,3
Disposable Cutlery,Casein Plastics,6.54,7,Plant Protein Plastics,6.71,2
Bulletproof Glass,Polycarbonate Panels,1.64,9,Recycled Polycarbonate,1.68,3
Electronic Housing,Foam Packing Peanuts,2.48,9,Cornstarch Packing Peanuts,2.5,2
Electronic Housing,Paper Packaging,1.83,8, Biodegradable Paper Packaging,1.83,3
Eyeglass Frame,Carboxymethyl Cellulose,7.97,7,Natural Modifiers,7.82,2
Packaging Box,Butadiene,7.49,8,Bio-based Dienes,7.4,3
Eyeglass Frame,Nitrocellulose,7.42,8,Natural Film Formers,7.36,3
Electronic Housing,Recycled Steel,4.58,8, Recycled Steel or Aluminum,4.71,3
General Appliance Part,Styrofoam Cups,5.37,9,Compostable Paper Cups,5.33,3
Automotive Component,Polyvinyl Acetate Emulsion,2.34,8,Starch-based Adhesive,2.35,3
Storage Container,Corn Plastic,4.86,7, Compostable Corn Plastic,5.0,2
Automotive Component,Sisal,6.03,8, Hemp or Bamboo Fiber,5.88,3
Automotive Component,HDPE,5.84,8,Plant-based Alternatives,5.7,3
Electronic Housing,Recycled Paper Bags,0.89,7, Compostable Paper Bags,0.91,3
General Appliance Part,Radioactive Materials,1.42,10,Non-radioactive Alternatives,1.42,4
Phone Case,Polystyrene (Plastic),1.08,9,Bamboo or Compostable PLA,1.08,3
Automotive Component,Acrylic Yarn,0.18,8,Bamboo Yarn or Organic Cotton Yarn,0.17,2
General Appliance Part,Recycled PLA,4.1,8,Recycled PLA or Bamboo Fiber,4.05,3
General Appliance Part,Dichloromethane,3.74,10,Water-based Solvents,3.66,3
Mattress,Polyurethane Coating,2.22,8,Plant-based Coating,2.19,3
Packaging Box,Recycled Granite,6.59,8, Recycled Granite or Recycled Glass,6.5,3
Clothing Apparel,Recycled Carbon Fiber,9.93,8, Recycled Carbon Fiber Composites,10.2,3
Phone Case,Plastic Bottles,6.75,9,Glass or Metal Bottles,6.62,2
Shoe Sole,Natural Rubber,7.57,8,Plant-based Rubber,7.69,3
Soda Bottle,Polyester Carpet,7.88,8,Wool or Sisal Carpet,8.02,3
Electronic Housing,Palm Oil,7.99,8, Certified Sustainable Palm Oil,8.11,3
Electronic Housing,Hexamethylenediamine,4.92,8,Bio-based Diamines,5.06,3
Electronic Housing,Polybutylene Terephthalate,4.48,8,Biodegradable PBT,4.44,3
Water Bottle,Recycled Plastic,7.63,9,Plant-based Plastic,7.71,3
General Appliance Part,Sisal,4.97,8,Hemp or Bamboo Fiber,5.0,3
General Appliance Part,Recycled Steel,8.68,8, Recycled Steel,8.92,3
Storage Container,Plastic Cutlery,1.76,9,Bamboo Cutlery,1.74,2
Packaging Box,Biodegradable Paint,2.17,7, Natural Paints,2.21,2
Crayon,Beeswax Wrap,4.5,8,Reusable Beeswax Wrap,4.45,3
Automotive Component,Polymethyl Methacrylate (PMMA),4.1,9,Recycled PMMA,4.15,3
Automotive Component,Biodegradable Bamboo,5.06,8, Recycled Bamboo,4.93,3
Packaging Box,Chromated Copper Arsenate,8.47,10,Heat-treated Wood,8.48,3
Automotive Component,Carbon Black,8.18,8,Biochar or Vegetable-based Pigments,8.27,3
Water Bottle,Thermoplastic Polyolefin (TPO),9.1,8, Biodegradable TPO,8.85,3
General Appliance Part,Treated Wood,0.74,8,Recycled Wood,0.74,3
Sofa Cushion,Polyurethane Foam,6.17,8,Recycled Denim or Sheeps Wool,6.17,3
General Appliance Part,Coconut Shell,6.66,8,Compostable Shell,6.7,3
Automotive Component,Methyl Bromide,1.95,10,Steam Treatment,2.01,2
Automotive Component,Bamboo Charcoal,9.22,8,Recycled Charcoal,9.08,3
Automotive Component,Polymethyl Methacrylate (PMMA),8.26,9, Recycled PMMA,8.47,3
Water Bottle,Phthalate Plasticizers,6.81,9,Citrate-based Plasticizers,6.85,3
Food Container,Polyester Carpet,7.62,8,Wool or Sisal Carpet,7.72,3
General Appliance Part,Mahogany,8.69,9,Fast-growing Hardwood,8.66,3
Automotive Component,Recycled Paper Bags,9.55,7, Compostable Paper Bags,9.47,3
Packaging Box,Butadiene,4.99,8,Bio-based Dienes,5.13,3
Automotive Component,Papyrus,9.95,7,Bamboo Paper,9.79,2
Eyeglass Frame,Cellulose Acetate,5.08,7,Natural Cellulose,5.13,2
Sportswear,Recycled Polyester,6.66,8,Recycled Polyester or Organic Cotton,6.76,3
General Appliance Part,Polytetrafluoroethylene,7.49,10,Ceramic Coating,7.53,4
Storage Container,Plastic Straws,3.83,9,Bamboo or Metal Straws,3.84,2
Water Bottle,Thermoplastic Polyolefin (TPO),9.53,8, Biodegradable TPO,9.66,3
Automotive Component,Chlorine,4.13,10,Hydrogen Peroxide,4.01,3
Electronic Housing,Volatile Organic Compounds,6.81,9,Water-based Solutions,6.98,3
Eyeglass Frame,Cellulose,0.96,8,Recycled Cellulose,0.95,3
Electronic Housing,Treated Wood,2.71,8, Recycled Wood,2.74,3
Automotive Component,Graphene,0.54,8,Recycled Graphene,0.55,3
Packaging Box,Recycled Glass Bottles,2.29,8,Glass or Biodegradable Bottles,2.3,3
Disposable Cutlery,Thermoplastic Polyurethane,4.26,8,Biodegradable TPU,4.18,3
Automotive Component,Vinyl Acetate,0.31,8,Natural Acetylation,0.31,3
Upholstery,Acrylic Fabric,4.4,7,Hemp Fabric,4.3,2
Electronic Housing,Compostable Utensils,7.02,8, Bamboo or Palm Leaf Utensils,7.14,3
Automotive Component,Polyisobutylene,0.18,8,Natural Rubber Alternatives,0.18,3
General Appliance Part,Linseed Oil,1.66,7, Water-based Linseed Oil,1.7,3
Water Pipe,Polyvinyl Chloride (PVC),8.73,8, Recycled PVC,8.85,3
Phone Case,Thermoplastic Elastomers,1.12,8,Biodegradable Elastomers,1.09,3
Automotive Component,Compostable PLA,1.33,7,Plant-based PLA,1.31,2
Electronic Housing,Asphalt Shingles,8.76,8,Recycled Metal Shingles,8.89,3
Automotive Component,Phenol,7.63,9,Natural Phenolics,7.65,3
Plumbing Tape,Teflon,9.75,10,Ceramic Coating or Cast Iron,9.82,4
General Appliance Part,PLA,3.96,5,Biodegradable Paper,3.95,2
Automotive Component,Aluminum,9.05,8,Recycled Aluminum,9.15,2
Car Seat,Thermoplastic Polyurethane,6.47,8,Biodegradable TPU,6.58,3
Sponge,Nitrocellulose,3.89,8,Natural Film Formers,4.0,3
Pen,Polyethylene (Plastic),7.08,9,Jute or Cotton,7.17,2
Packaging Film,Recycled Polyethylene Terephthalate (rPET),8.81,8, Bio-based PET,8.71,3
Automotive Component,Vinyl,0.82,8,Recycled Wood or Bamboo,0.81,3
Film,Methyl Cellulose,9.8,7,Natural Thickeners,9.85,2
General Appliance Part,Sunflower Oil,6.81,8, Plant-based Oil,6.93,3
Electronic Housing,Brominated Flame Retardants,0.67,9,Phosphate-based Retardants,0.68,3
Automotive Component,Natural Stone,0.94,7,Recycled Stone,0.91,3
Electronic Housing,Antimony Compounds,5.23,9,Natural Flame Retardants,5.18,3
Automotive Component,Conventional Fertilizers,1.18,9,Organic Fertilizers,1.18,3
Electronic Housing,Neoprene,5.77,8,Natural Rubber,5.82,3
Car Seat,Polyurethane Coating,4.79,8, Plant-based Coating,4.8,3
Automotive Component,FSC-Certified Wood,0.6,8,Sustainable Wood,0.59,3
Electronic Housing,Recycled Steel,0.86,8,Recycled Steel or Aluminum,0.84,3
Packaging Box,Sisal,7.6,8,Hemp or Bamboo Fiber,7.73,3
Toy,Coconut Oil-based Bioplastic,9.74,8,Compostable Plastic,9.75,3
Packaging Box,Butylated Hydroxyanisole,4.56,8,Vitamin E (Tocopherol),4.42,2
General Appliance Part,Acrylamide,5.37,9,Natural Polymers,5.24,3
Packaging Box,Sisal,0.93,8,Hemp or Bamboo Fiber,0.95,3
Belt,Grape Leather,4.33,6,Wine Industry Byproduct Leather,4.45,2
Electronic Housing,Algae Oil,6.78,8, Plant-based Oil,6.63,3
Grocery Bag,Polyethylene Glycol (PEG),5.3,8, Bio-based PEG,5.24,3
Electronic Housing,Polyphenylene Oxide,3.89,8,Bio-based Polyphenylene Oxide,3.8,3
Automotive Component,Eucalyptus,7.72,8,Recycled Eucalyptus,7.67,3
Electronic Housing,Triclosan,6.81,10,Essential Oil-based Antimicrobials,6.71,3
Soda Bottle,PET,9.19,8,PLA Bioplastic,9.24,3
Shoes,Grape Leather,0.4,6,Wine Industry Byproduct Leather,0.4,2
Electronic Housing,Mercury Switches,0.83,10,Electronic Switches,0.81,3
General Appliance Part,Asbestos (Historical),1.2,10,Cellulose Fiber,1.19,2
Packing Peanuts,Recycled Polystyrene,6.6,8,Recycled Polystyrene or Bio-based Styrofoam,6.75,3
General Appliance Part,Mineral Wool,9.73,8,Recycled Cotton Insulation,9.99,3
Stockings,Nylon,0.83,7,Organic Cotton or Recycled Nylon,0.84,3
Automotive Component,Epichlorohydrin,7.85,9,Bio-based Epoxy,7.73,3
General Appliance Part,Rice Husk Ash Cement,2.16,8,Agricultural Waste Cement,2.13,3
Plastic Cutlery,Polystyrene (Plastic),4.95,9,Bamboo or Compostable PLA,4.83,3
Packaging Box,Heptachlor,8.78,10,Plant-based Pesticides,8.92,2
Toy,Thermoplastic Polyolefin (TPO),5.09,8, Biodegradable TPO,5.15,3
Toy,Thermoplastic Polyurethane,4.24,8,Biodegradable TPU,4.16,3
General Appliance Part,Recycled Paperboard,2.45,7,Recycled Paper or Bamboo Paper,2.5,2
Film,Bacterial Cellulose,1.13,6,Microbial Cellulose Films,1.16,2
General Appliance Part,PLA,7.32,5,Biodegradable Paper,7.16,2
Electronic Housing,Bisphenol A,1.04,9,Tritan Plastic,1.01,4
Automotive Component,Bisphenol-A,5.19,9,Plant-based Phenols,5.19,3
Packaging Box,Glass Containers,3.04,8,Recycled Glass,3.07,3
Electronic Housing,Polyisoprene,6.6,8, Natural Rubber,6.53,3
Packaging Box,Recycled Aluminum Cans,6.7,8, Recycled Aluminum,6.6,3
Water Bottle,Ink (Petroleum-based),2.87,8,Soy-based Ink,2.8,3
Pot Handle,Bakelite,8.13,9,Wood-based Composites,7.92,4
Packaging Box,Cork Packaging,5.81,8,Bamboo Packaging,5.77,3
General Appliance Part,Recycled Granite,5.09,8, Recycled Granite or Recycled Glass,5.08,3
Clothing Apparel,Hemp Fiber,6.36,8, Jute Fiber,6.51,3
Packaging Box,Polytetrafluoroethylene,3.02,10,Ceramic Coating,3.08,4
Food Container,Recycled Polyethylene Terephthalate (rPET),3.35,8, Bio-based PET,3.43,3
Packaging Box,Polybenzoxazine,3.69,8, Bio-based Polybenzoxazine,3.76,3
Toy,Plastic Packaging,6.33,10,Paper-based Packaging,6.26,2
Toy,Thermoplastic Polyolefin (TPO),0.41,8, Biodegradable TPO,0.42,3
Laminate Flooring,Melamine Foam,3.58,9,Recycled Melamine,3.52,3
General Appliance Part,Glass Containers,2.68,8,Recycled Glass,2.64,3
Water Pipe,PVC Foam,2.11,8,Recycled Plastic Foam,2.07,3
General Appliance Part,Grape Seed Oil,5.82,8,Plant-based Oil,5.66,3
Automotive Component,Polyhydroxyalkanoates,8.1,8,Biodegradable Polyhydroxyalkanoates,8.16,3
Packaging Box,Toxaphene,8.41,10,Botanical Pesticides,8.17,2
Packaging Box,PCB Capacitors,4.77,10,Bio-based Capacitors,4.72,4
Electronic Housing,Polypropylene Carbonate,9.35,8,CO2-based Polymers,9.39,3
Electronic Housing,Brominated Flame Retardants,8.72,9,Phosphate-based Retardants,8.66,3
Packaging Box,Recycled Paper Bags,1.27,7, Compostable Paper Bags,1.3,3
Storage Container,Thermoplastic Polyolefin (TPO),4.31,8, Biodegradable TPO,4.19,3
General Appliance Part,Antimony Compounds,3.96,9,Natural Flame Retardants,4.04,3
Packaging Box,Antimony Compounds,3.49,9,Natural Flame Retardants,3.57,3
Storage Container,Plastic Bags,3.41,9,Reusable Cloth Bags,3.35,2
Phone Case,Thermoplastic Vulcanizates,4.84,8, Biodegradable Thermoplastic,4.92,3
Soda Bottle,PET Bottles,9.33,9,Biodegradable Water Bottles,9.09,3
Storage Container,Bio-based Bioplastic,7.98,8, Plant-based Bioplastics,8.0,3
Water Bottle,Plastic Straws,4.51,9,Bamboo or Metal Straws,4.57,2
Automotive Component,Recycled Paper Bags,0.43,7, Compostable Paper Bags,0.44,3
Packaging Box,Wool,0.14,7,Cotton or Hemp,0.14,3
Bag,Hemp Fiber,6.24,8,Jute Fiber,6.1,3
Packaging Box,Methyl Isocyanate,0.81,10,Non-isocyanate Chemistry,0.8,4
General Appliance Part,Tencel,9.09,8,Hemp or Organic Cotton,9.2,3
Electronic Housing,Methyl Isocyanate,0.73,10,Non-isocyanate Chemistry,0.71,4
Industrial Coating,Polylactic Acid,4.75,5,Biodegradable Paper,4.66,2
General Appliance Part,Mica,2.43,8,Recycled Glass,2.41,3
Automotive Component,Zein (Corn Protein),6.47,7,Plant-based Protein Films,6.57,2
Handbag,Leather,6.31,9,Plant-based Leather,6.22,3
General Appliance Part,Phenol,2.06,9,Natural Phenolics,2.1,3
Tool Handle,Cellulose Propionate,0.45,7,Bio-based Cellulose,0.46,2
Packaging Box,Recycled Steel,1.97,8, Recycled Steel,1.91,3
General Appliance Part,Creosote-treated Wood,9.92,9,Heat-treated Wood,9.98,3
Packaging Box,Polypropylene,7.63,8, Glass,7.67,3
Packaging Box,Zein (Corn Protein),9.8,7,Plant-based Protein Films,9.93,2
Shoe Sole,Recycled Tyre Rubber,7.89,9,Recycled Rubber,7.8,3
Packaging Box,Toluene,4.13,9,Water-based or Low-VOC Solvents,4.02,3
Electronic Housing,Aluminum,0.69,8,Recycled Aluminum,0.7,2
Electronic Housing,Vinyl Acetate,5.49,8,Natural Acetylation,5.39,3
Packaging Box,Banana Leaf,4.1,8,Compostable Leaf,4.07,3
Electronic Housing,Polybutene,5.0,8, Bio-based Polybutene,5.11,3
Packaging Box,Teak Wood,8.79,9,Bamboo Composites,8.58,3
Electronic Housing,Ethylene Oxide,1.66,9,Natural Sterilization,1.63,3
Electronic Housing,Mercury Compounds,3.65,10,Electronic Sensors,3.75,3
Automotive Component,Cadmium Pigments,8.15,10,Natural Earth Pigments,7.99,2
Packaging Box,Mica,1.9,8,Recycled Glass,1.85,3
Laminate Flooring,Melamine,7.72,8,Bamboo-based Tableware,7.66,3
General Appliance Part,Sisal,9.64,8, Hemp or Bamboo Fiber,9.69,3
Electronic Housing,Halogenated Flame Retardants,7.4,9,Mineral-based Flame Retardants,7.54,3
Automotive Component,Palm Oil,2.96,8, Certified Sustainable Palm Oil,2.95,3
Automotive Component,Asbestos Cement,3.13,10,Fiber-reinforced Cement,3.06,3
Automotive Component,Sisal,1.69,8,Hemp or Bamboo Fiber,1.73,3
Packaging Box,Epoxidized Soybean Oil (ESBO),9.67,8, Bio-based Epoxidized Soybean Oil,9.89,3
Curtains,Polyester Fabric,4.66,7,Tencel or Modal,4.79,2
Automotive Component,Tritan,3.33,9,Plant-based Tritan,3.27,3
Storage Container,Corn Plastic,1.07,7, Compostable Corn Plastic,1.08,2
Packaging Box,Coconut Shell,2.5,8,Compostable Shell,2.54,3
Soda Bottle,PETG Bottles,7.82,8,PLA or Glass Bottles,7.89,3
Sportswear,Non-Woven Polyester,0.91,8,Biodegradable Bamboo Fiber,0.89,2
Automotive Component,Acetal,9.84,8,Recycled Acetal,9.61,3
Bag,Nettle Fiber,9.73,5,Wild Plant Fiber,9.88,2
Automotive Component,Recycled Copper,9.4,8,Recycled Copper or Plant-based Copper,9.33,3
Electronic Housing,Aluminum,7.7,8,Recycled Aluminum,7.6,2
General Appliance Part,Methyl Bromide,2.06,10,Steam Treatment,2.08,2
Automotive Component,Recycled Paper Bags,4.06,7, Compostable Paper Bags,4.13,3
Eyeglass Frame,Nitrocellulose,7.54,8,Natural Film Formers,7.74,3
Automotive Component,Plant-based Paint,2.3,7,Water-based Paint,2.26,2
Electronic Housing,Asbestos Cement,6.28,10,Fiber-reinforced Cement,6.45,3
Water Bottle,Coconut Oil-based Bioplastic,4.75,8,Compostable Plastic,4.74,3
Automotive Component,Paper Packaging,4.21,8,Biodegradable Paper Packaging,4.23,3
Packaging Box,Recycled Paper Straws,0.84,8,Compostable Paper Straws,0.82,3
Shampoo Bottle,Chlorinated Polyethylene,0.44,9,Natural Elastomers,0.43,3
Automotive Component,Polypropylene,1.58,8,Glass,1.59,3
Bag,Coconut Fiber,9.21,8, Bamboo Fiber,9.18,3
General Appliance Part,Polyacrylate,7.77,8,Biodegradable Polyacrylate,7.56,3
Packaging Box,Acrylonitrile Butadiene Styrene,7.46,8,Natural Fiber Composites,7.48,3
Electronic Housing,Alkylphenols,7.83,9,Natural Surfactants,8.06,3
Bag,Recycled Carbon Fiber,7.86,8,Recycled Carbon Fiber Composites,7.7,3
Sofa Cushion,Polyurethane Foam,9.31,9,Natural Latex or Coconut Fiber,9.59,3
Electronic Housing,Compostable Paper,5.95,7,Bamboo Paper,6.07,2
Electronic Housing,Non-Woven Polypropylene,4.86,8,Organic Cotton Fabric,4.73,2
Automotive Component,Vinyl Upholstery,6.87,9,Cork Leather or Fabric,6.82,3
Storage Container,Algae-Based Bioplastic,1.44,7,Plant-based Bioplastics,1.43,2
Phone Case,Plastic,8.83,10,Paper or Metal,8.95,2
Packaging Box,Recycled Textiles,3.29,8,Organic Textiles,3.32,3
General Appliance Part,Acrylamide,5.01,9,Natural Polymers,4.91,3
Disposable Cutlery,Thermoplastic Polyurethane,0.32,8,Biodegradable TPU,0.31,3
Squeeze Bottle,Bio-polyethylene,3.03,8,Biodegradable Polyethylene,3.04,3
Electronic Housing,Formalin,4.12,10,Plant-based Preservatives,4.16,3
Clothing Apparel,Natural Fiber,5.96,7, Biodegradable Fiber,5.86,2
General Appliance Part,Natural Stone,8.82,7,Recycled Stone,8.85,3
Tool Handle,Hydroxypropyl Cellulose,9.23,7,Modified Plant Cellulose,9.25,2
Water Bottle,Plastic Beads,2.69,8,Glass or Wooden Beads,2.71,3
General Appliance Part,Polyimide,3.56,8,Biodegradable Polyimide,3.65,3
Packaging Box,PCB Capacitors,4.22,10,Bio-based Capacitors,4.19,4
Clothing Apparel,Recycled Carbon Fiber,6.0,8,Recycled Carbon Fiber Composites,5.87,3
Storage Container,Thermoplastic Elastomer (TPE),5.5,8, Biodegradable TPE,5.54,3
Industrial Coating,Formaldehyde Resins,8.85,8,Natural Adhesives,8.73,2
Food Container,Polyester Carpet,9.32,8,Wool or Sisal Carpet,9.29,3
General Appliance Part,Acrylic Paint,4.8,7,Natural Pigments or Water-based Paints,4.7,2
Food Container,Recycled PETG,0.93,8,Recycled Glass,0.95,3
Bag,Hemp Fiber,5.41,8, Jute Fiber,5.5,3
Electronic Housing,Acrylic Yarn,0.76,8,Bamboo Yarn or Organic Cotton Yarn,0.74,2
Automotive Component,Acrylic,5.44,8,Bamboo or Glass,5.59,3
Water Bottle,Recycled Plastic,2.32,9, Plant-based Plastic,2.27,3
Automotive Component,Polyvinyl Alcohol,9.39,8,Biodegradable PVA,9.25,3
Tool Handle,Carboxymethyl Cellulose,9.22,7,Natural Modifiers,9.36,2
Automotive Component,Hemp Paper,2.68,8,Recycled Paper,2.71,3
Automotive Component,Polyisocyanurate,8.21,8, Bio-based Polyisocyanurate,7.98,3
Electronic Housing,Epichlorohydrin,8.21,9,Bio-based Epoxy,7.99,3
Eraser,Recycled Tyre Rubber,2.51,9,Recycled Rubber,2.47,3
Automotive Component,PVB,0.74,8,Recycled Glass or Biodegradable PVB,0.73,3
General Appliance Part,Mahogany,6.97,9,Fast-growing Hardwood,6.96,3
General Appliance Part,Asbestos Cement,3.03,10,Fiber-reinforced Cement,3.08,3
Laminate Flooring,Melamine Foam,2.25,9,Recycled Melamine,2.29,3
Electronic Housing,Methyl Isocyanate,8.8,10,Non-isocyanate Chemistry,8.78,4
Molded Part,Polylactic Acid (PLA),8.62,6,Compostable PLA,8.38,2
Automotive Component,Polymethyl Methacrylate (PMMA),9.89,9, Recycled PMMA,10.07,3
General Appliance Part,Lindane,0.88,10,Natural Insecticides,0.86,2
Cable Insulation,PVC Foam,3.98,8,Recycled Plastic Foam,3.96,3
General Appliance Part,Polypropylene,3.39,8, Glass,3.33,3
Automotive Component,Leaded Gasoline,7.56,10,Electric Vehicles,7.63,2
Soda Bottle,Polyester Carpet,1.22,8,Wool or Sisal Carpet,1.24,3
General Appliance Part,Recycled Stone,0.27,8, Recycled Stone,0.27,3
General Appliance Part,Creosote-treated Wood,4.22,9,Heat-treated Wood,4.33,3
Upholstery,Kenaf Fiber,8.03,6,Hibiscus Plant Fiber,7.84,2
T-Shirt,Cotton,7.76,7,Organic Cotton,7.53,2
Phone Case,Recycled Plastic,1.08,9,Plant-based Plastic,1.06,3
General Appliance Part,Soybean Oil,5.46,8, Bio-based Oil,5.58,3
Curtains,Polyester Clothing,3.95,8,Organic Cotton or Hemp Fabric,3.98,2
Packaging Box,Polyhydroxybutyrate (PHB),9.88,8, Biodegradable PHB,9.86,3
Packaging Box,Polysulfone,9.47,9,Natural Sulfone Polymers,9.63,4
Automotive Component,Algae Oil,0.38,8,Plant-based Oil,0.38,3
General Appliance Part,Linseed Oil,9.08,7, Water-based Linseed Oil,8.91,3
Pot Handle,Bakelite,9.97,9,Wood-based Composites,10.06,4
Blanket,Polyester Fabric,7.02,7,Tencel or Modal,6.97,2
Packaging Box,Soybean Oil,3.2,8, Bio-based Oil,3.16,3
Automotive Component,Bagasse Composites,6.3,5,Sugarcane Waste Materials,6.34,2
Packaging Box,Polyvinyl Alcohol (PVA),1.77,8, Biodegradable PVA,1.78,3
Lego Bricks,ABS,3.41,8,Recycled ABS or Wood-based Composites,3.45,3
Packaging Film,Polyethylene Bags,1.35,9, Compostable Cornstarch Bags,1.36,2
General Appliance Part,Acrylonitrile Butadiene Styrene,9.68,8,Natural Fiber Composites,9.81,3
General Appliance Part,PLA,8.4,5,Biodegradable Paper,8.39,2
Automotive Component,HDPE,9.06,8,Plant-based Alternatives,9.17,3
Automotive Component,Soybean Oil,2.34,8,Bio-based Oil,2.38,3
Electronic Housing,PTFE,2.26,10,Ceramic Coating or Cast Iron,2.28,4
Electronic Housing,Natural Stone,3.95,7,Recycled Stone,3.88,3
General Appliance Part,Hemp Paper,6.5,8, Recycled Paper,6.68,3
Electronic Housing,Polyhydroxybutyrate (PHB),2.72,8, Biodegradable PHB,2.65,3
General Appliance Part,Lead Solder,8.78,9,Lead-free Solder,8.77,3
